Date,Gear,Shaft,Bearing
1990-05-10,181,180,95
1990-05-11,180,185,107
1990-05-12,191,173,91
1990-05-13,194,183,98
1990-05-14,191,174,102
1990-05-15,195,172,112
1990-05-16,176,172,101
1990-05-17,182,193,110
1990-05-18,194,185,97
1990-05-19,198,182,90
1990-05-20,181,167,97
1990-05-21,197,182,103
1990-05-22,176,164,110
1990-05-23,196,185,114
1990-05-24,176,176,107
1990-05-25,182,168,101
1990-05-26,192,163,112
1990-05-27,187,181,90
1990-05-28,184,171,109
1990-05-29,168,184,105
1990-05-30,174,186,109
1990-05-31,191,190,111
1990-06-01,166,177,94
1990-06-02,177,166,100
1990-06-03,175,183,112
1990-06-04,189,179,118
1990-06-05,188,184,100
1990-06-06,158,161,96
1990-06-07,174,168,103
1990-06-08,166,169,95
1990-06-09,156,181,102
1990-06-10,160,179,96
1990-06-11,159,183,110
1990-06-12,159,163,99
1990-06-13,160,178,118
1990-06-14,160,161,98
1990-06-15,180,176,115
1990-06-16,166,160,89
1990-06-17,175,173,111
1990-06-18,156,175,101
1990-06-19,151,185,113
1990-06-20,167,160,106
1990-06-21,161,175,109
1990-06-22,153,179,95
1990-06-23,145,184,102
1990-06-24,145,170,96
1990-06-25,144,170,117
1990-06-26,146,158,109
1990-06-27,163,168,90
1990-06-28,141,185,108
1990-06-29,148,156,98
1990-06-30,146,176,104
1990-07-01,154,183,98
1990-07-02,140,170,107
1990-07-03,147,166,112
1990-07-04,139,179,92
1990-07-05,157,185,88
1990-07-06,146,166,112
1990-07-07,161,180,104
1990-07-08,159,162,88
1990-07-09,136,174,95
1990-07-10,151,168,118
1990-07-11,132,175,111
1990-07-12,143,173,116
1990-07-13,127,168,92
1990-07-14,144,157,96
1990-07-15,145,165,88
1990-07-16,142,157,95
1990-07-17,125,169,101
1990-07-18,138,180,93
1990-07-19,148,184,98
1990-07-20,148,158,94
1990-07-21,133,157,102
1990-07-22,134,165,98
1990-07-23,139,178,109
1990-07-24,137,161,99
1990-07-25,119,168,99
1990-07-26,136,160,95
1990-07-27,119,161,98
1990-07-28,137,169,110
1990-07-29,131,165,111
1990-07-30,119,166,100
1990-07-31,123,166,91
1990-08-01,128,175,119
1990-08-02,141,162,105
1990-08-03,133,166,113
1990-08-04,114,174,95
1990-08-05,132,183,90
1990-08-06,132,165,112
1990-08-07,109,182,95
1990-08-08,127,188,114
1990-08-09,119,178,92
1990-08-10,108,169,91
1990-08-11,121,172,91
1990-08-12,109,169,101
1990-08-13,103,188,89
1990-08-14,119,170,105
1990-08-15,111,185,118
1990-08-16,113,181,92
1990-08-17,125,192,112
1990-08-18,119,192,112
1990-08-19,129,188,108
1990-08-20,115,185,92
1990-08-21,99,195,89
1990-08-22,126,179,108
1990-08-23,126,169,89
1990-08-24,106,180,118
1990-08-25,103,168,106
1990-08-26,119,175,116
1990-08-27,112,194,94
1990-08-28,111,195,98
1990-08-29,115,178,101
1990-08-30,120,190,95
1990-08-31,103,187,106
1990-09-01,93,193,95
1990-09-02,121,197,92
1990-09-03,121,175,117
1990-09-04,117,199,100
1990-09-05,107,200,111
1990-09-06,117,197,111
1990-09-07,98,202,97
1990-09-08,119,201,104
1990-09-09,100,193,96
1990-09-10,119,197,118
1990-09-11,120,190,102
1990-09-12,119,200,120
1990-09-13,99,197,101
1990-09-14,98,206,98
1990-09-15,116,182,118
1990-09-16,99,183,113
1990-09-17,99,207,94
1990-09-18,96,209,105
1990-09-19,110,201,105
1990-09-20,118,209,95
1990-09-21,114,205,101
1990-09-22,98,189,92
1990-09-23,93,191,100
1990-09-24,111,197,101
1990-09-25,112,190,119
1990-09-26,117,206,108
1990-09-27,104,193,97
1990-09-28,103,211,120
1990-09-29,115,191,105
1990-09-30,116,186,100
1990-10-01,91,187,112
1990-10-02,90,213,94
1990-10-03,92,187,90
1990-10-04,94,199,91
1990-10-05,93,218,102
1990-10-06,93,216,110
1990-10-07,97,210,112
1990-10-08,96,193,111
1990-10-09,99,205,119
1990-10-10,118,215,94
1990-10-11,111,197,113
1990-10-12,95,207,96
1990-10-13,107,201,94
1990-10-14,91,193,104
1990-10-15,89,194,109
1990-10-16,92,206,106
1990-10-17,89,223,105
1990-10-18,116,203,108
1990-10-19,92,208,101
1990-10-20,97,225,102
1990-10-21,91,210,94
1990-10-22,92,199,110
1990-10-23,102,201,101
1990-10-24,92,227,114
1990-10-25,121,213,98
1990-10-26,122,199,95
1990-10-27,103,216,119
1990-10-28,122,210,98
1990-10-29,117,208,107
1990-10-30,104,216,95
1990-10-31,104,217,97
1990-11-01,118,207,110
1990-11-02,110,223,93
1990-11-03,95,224,119
1990-11-04,110,224,105
1990-11-05,111,231,108
1990-11-06,108,215,112
1990-11-07,107,208,111
1990-11-08,117,210,116
1990-11-09,113,218,121
1990-11-10,127,210,91
1990-11-11,126,226,112
1990-11-12,101,212,98
1990-11-13,126,231,97
1990-11-14,118,213,105
1990-11-15,118,213,91
1990-11-16,105,235,95
1990-11-17,129,218,102
1990-11-18,119,230,116
1990-11-19,126,209,107
1990-11-20,108,220,97
1990-11-21,106,217,109
1990-11-22,120,228,121
1990-11-23,131,234,119
1990-11-24,108,232,102
1990-11-25,131,218,111
1990-11-26,136,226,92
1990-11-27,132,214,101
1990-11-28,140,217,99
1990-11-29,124,222,96
1990-11-30,112,215,99
1990-12-01,122,222,98
1990-12-02,140,227,108
1990-12-03,133,221,94
1990-12-04,138,213,108
1990-12-05,120,214,99
1990-12-06,124,213,95
1990-12-07,122,222,107
1990-12-08,139,217,107
1990-12-09,138,230,96
1990-12-10,132,214,119
1990-12-11,151,240,115
1990-12-12,137,217,102
1990-12-13,127,234,91
1990-12-14,140,227,102
1990-12-15,125,243,104
1990-12-16,125,240,106
1990-12-17,134,230,111
1990-12-18,147,224,113
1990-12-19,140,226,94
1990-12-20,132,224,111
1990-12-21,129,237,97
1990-12-22,142,217,104
1990-12-23,158,239,112
1990-12-24,138,236,119
1990-12-25,142,245,119
1990-12-26,150,218,107
1990-12-27,150,235,95
1990-12-28,155,241,117
1990-12-29,136,238,96
1990-12-30,164,217,113
1990-12-31,145,228,121
1991-01-01,142,219,98
1991-01-02,149,225,96
1991-01-03,151,222,115
1991-01-04,149,217,112
1991-01-05,169,220,117
1991-01-06,167,240,103
1991-01-07,154,232,113
1991-01-08,163,239,117
1991-01-09,169,233,111
1991-01-10,158,236,113
1991-01-11,151,232,114
1991-01-12,176,219,115
1991-01-13,172,241,102
1991-01-14,172,235,101
1991-01-15,151,238,94
1991-01-16,177,225,107
1991-01-17,159,229,102
1991-01-18,162,231,101
1991-01-19,168,243,112
1991-01-20,165,216,116
1991-01-21,181,225,122
1991-01-22,180,241,118
1991-01-23,185,232,96
1991-01-24,159,223,99
1991-01-25,166,220,116
1991-01-26,184,219,100
1991-01-27,190,213,101
1991-01-28,166,219,116
1991-01-29,168,237,117
1991-01-30,185,231,94
1991-01-31,166,230,100
1991-02-01,168,213,118
1991-02-02,182,228,108
1991-02-03,182,234,106
1991-02-04,171,236,93
1991-02-05,175,225,101
1991-02-06,195,236,101
1991-02-07,181,239,110
1991-02-08,200,235,106
1991-02-09,182,212,107
1991-02-10,201,232,119
1991-02-11,191,230,108
1991-02-12,190,227,109
1991-02-13,184,232,113
1991-02-14,196,236,106
1991-02-15,190,216,119
1991-02-16,179,209,121
1991-02-17,188,227,98
1991-02-18,204,212,118
1991-02-19,193,216,110
1991-02-20,187,216,107
1991-02-21,201,227,95
1991-02-22,178,233,95
1991-02-23,197,225,122
1991-02-24,188,228,109
1991-02-25,195,230,106
1991-02-26,185,218,116
1991-02-27,196,212,97
1991-02-28,198,225,97
1991-03-01,211,226,110
1991-03-02,186,206,97
1991-03-03,189,215,115
1991-03-04,208,218,119
1991-03-05,195,215,106
1991-03-06,191,217,116
1991-03-07,214,227,94
1991-03-08,215,207,109
1991-03-09,207,214,105
1991-03-10,213,198,96
1991-03-11,211,224,119
1991-03-12,203,217,114
1991-03-13,213,213,118
1991-03-14,210,200,119
1991-03-15,209,222,115
1991-03-16,212,214,113
1991-03-17,197,202,112
1991-03-18,187,224,119
1991-03-19,216,204,122
1991-03-20,207,215,103
1991-03-21,194,211,119
1991-03-22,196,198,109
1991-03-23,198,222,107
1991-03-24,194,213,112
1991-03-25,199,191,97
1991-03-26,193,206,113
1991-03-27,197,189,121
1991-03-28,200,194,122
1991-03-29,211,207,98
1991-03-30,194,204,111
1991-03-31,202,207,114
1991-04-01,195,191,120
1991-04-02,202,186,124
1991-04-03,218,188,96
1991-04-04,208,214,113
1991-04-05,211,187,112
1991-04-06,192,208,104
1991-04-07,214,189,114
1991-04-08,190,194,117
1991-04-09,195,201,114
1991-04-10,213,189,97
1991-04-11,200,182,122
1991-04-12,218,182,109
1991-04-13,195,207,106
1991-04-14,213,198,114
1991-04-15,194,186,112
1991-04-16,214,196,116
1991-04-17,211,183,98
1991-04-18,203,199,114
1991-04-19,199,180,115
1991-04-20,212,185,102
1991-04-21,213,183,124
1991-04-22,206,196,116
1991-04-23,211,184,95
1991-04-24,197,198,115
1991-04-25,185,192,114
1991-04-26,199,189,110
1991-04-27,194,195,100
1991-04-28,196,201,111
1991-04-29,203,186,95
1991-04-30,189,176,101
1991-05-01,206,180,115
1991-05-02,212,193,123
1991-05-03,206,171,99
1991-05-04,205,193,117
1991-05-05,198,180,97
1991-05-06,203,195,95
1991-05-07,183,185,111
1991-05-08,188,176,105
1991-05-09,191,182,100
1991-05-10,182,181,124
1991-05-11,187,181,102
1991-05-12,203,194,112
1991-05-13,193,187,101
1991-05-14,183,181,108
1991-05-15,198,186,109
1991-05-16,175,169,121
1991-05-17,177,179,124
1991-05-18,181,174,122
1991-05-19,181,169,119
1991-05-20,181,192,108
1991-05-21,198,173,100
1991-05-22,184,187,109
1991-05-23,196,166,116
1991-05-24,191,182,101
1991-05-25,187,167,104
1991-05-26,195,168,124
1991-05-27,191,183,100
1991-05-28,168,185,102
1991-05-29,181,172,121
1991-05-30,182,188,114
1991-05-31,185,168,103
1991-06-01,168,178,110
1991-06-02,172,181,117
1991-06-03,172,168,117
1991-06-04,184,171,116
1991-06-05,166,172,101
1991-06-06,185,175,99
1991-06-07,183,167,115
1991-06-08,184,162,117
1991-06-09,182,185,116
1991-06-10,181,160,123
1991-06-11,167,168,102
1991-06-12,158,184,116
1991-06-13,160,167,107
1991-06-14,161,173,99
1991-06-15,162,171,125
1991-06-16,164,166,97
1991-06-17,170,170,104
1991-06-18,179,172,101
1991-06-19,178,174,102
1991-06-20,174,175,106
1991-06-21,173,166,106
1991-06-22,148,165,124
1991-06-23,163,163,99
1991-06-24,156,164,117
1991-06-25,162,158,95
1991-06-26,161,160,125
1991-06-27,149,183,112
1991-06-28,167,177,105
1991-06-29,149,185,121
1991-06-30,168,182,112
1991-07-01,143,181,106
1991-07-02,140,177,118
1991-07-03,157,182,106
1991-07-04,168,180,111
1991-07-05,158,178,111
1991-07-06,139,174,121
1991-07-07,159,165,104
1991-07-08,151,181,115
1991-07-09,143,187,119
1991-07-10,146,165,126
1991-07-11,137,163,104
1991-07-12,142,185,114
1991-07-13,159,161,105
1991-07-14,131,174,102
1991-07-15,136,176,126
1991-07-16,153,180,125
1991-07-17,147,177,105
1991-07-18,144,167,124
1991-07-19,126,173,99
1991-07-20,140,187,103
1991-07-21,128,187,125
1991-07-22,133,164,104
1991-07-23,130,176,105
1991-07-24,134,171,107
1991-07-25,121,165,107
1991-07-26,127,168,96
1991-07-27,122,188,126
1991-07-28,134,181,106
1991-07-29,143,184,114
1991-07-30,120,177,120
1991-07-31,130,182,97
1991-08-01,131,180,102
1991-08-02,115,174,122
1991-08-03,122,185,125
1991-08-04,127,184,110
1991-08-05,115,173,124
1991-08-06,140,178,115
1991-08-07,141,165,119
1991-08-08,135,174,104
1991-08-09,126,167,115
1991-08-10,127,169,124
1991-08-11,117,192,114
1991-08-12,118,180,104
1991-08-13,118,167,118
1991-08-14,132,194,96
1991-08-15,119,195,118
1991-08-16,129,184,104
1991-08-17,109,169,125
1991-08-18,111,181,100
1991-08-19,103,179,115
1991-08-20,120,183,121
1991-08-21,109,186,102
1991-08-22,131,183,117
1991-08-23,127,170,102
1991-08-24,122,184,100
1991-08-25,122,182,101
1991-08-26,121,181,99
1991-08-27,125,175,103
1991-08-28,123,184,118
1991-08-29,122,181,102
1991-08-30,123,195,118
1991-08-31,102,201,124
1991-09-01,126,187,104
1991-09-02,111,194,124
1991-09-03,125,202,116
1991-09-04,109,188,115
1991-09-05,96,177,125
1991-09-06,101,178,103
1991-09-07,104,201,114
1991-09-08,117,197,111
1991-09-09,112,181,110
1991-09-10,122,188,122
1991-09-11,104,192,119
1991-09-12,118,200,126
1991-09-13,103,193,112
1991-09-14,106,181,107
1991-09-15,96,180,105
1991-09-16,109,195,127
1991-09-17,119,188,114
1991-09-18,116,195,122
1991-09-19,118,201,122
1991-09-20,105,204,111
1991-09-21,95,191,121
1991-09-22,121,212,116
1991-09-23,113,202,119
1991-09-24,112,214,127
1991-09-25,105,212,105
1991-09-26,107,199,116
1991-09-27,99,195,97
1991-09-28,121,193,98
1991-09-29,106,188,121
1991-09-30,115,209,125
1991-10-01,116,198,105
1991-10-02,95,199,98
1991-10-03,92,191,102
1991-10-04,104,202,125
1991-10-05,99,213,122
1991-10-06,102,211,107
1991-10-07,94,199,101
1991-10-08,104,213,102
1991-10-09,121,216,117
1991-10-10,119,202,120
1991-10-11,92,207,107
1991-10-12,110,201,107
1991-10-13,93,209,128
1991-10-14,105,215,125
1991-10-15,95,216,104
1991-10-16,110,223,98
1991-10-17,100,196,108
1991-10-18,119,226,105
1991-10-19,123,224,106
1991-10-20,111,221,118
1991-10-21,116,214,122
1991-10-22,120,219,127
1991-10-23,106,216,111
1991-10-24,115,209,104
1991-10-25,125,203,115
1991-10-26,97,211,100
1991-10-27,98,228,112
1991-10-28,97,227,126
1991-10-29,125,224,112
1991-10-30,123,221,112
1991-10-31,117,220,110
1991-11-01,111,217,122
1991-11-02,116,225,112
1991-11-03,101,229,109
1991-11-04,115,222,108
1991-11-05,101,219,118
1991-11-06,131,213,109
1991-11-07,103,232,122
1991-11-08,128,209,122
1991-11-09,108,220,106
1991-11-10,120,219,105
1991-11-11,110,216,113
1991-11-12,126,231,127
1991-11-13,133,219,110
1991-11-14,128,221,110
1991-11-15,109,229,112
1991-11-16,116,218,117
1991-11-17,111,239,109
1991-11-18,119,234,122
1991-11-19,132,224,117
1991-11-20,119,237,119
1991-11-21,139,241,106
1991-11-22,130,223,104
1991-11-23,124,221,105
1991-11-24,123,242,104
1991-11-25,132,235,121
1991-11-26,118,221,120
1991-11-27,122,235,98
1991-11-28,114,237,126
1991-11-29,139,235,101
1991-11-30,141,236,104
1991-12-01,138,241,124
1991-12-02,137,215,105
1991-12-03,131,216,119
1991-12-04,128,219,107
1991-12-05,150,232,116
1991-12-06,131,223,112
1991-12-07,124,226,127
1991-12-08,147,228,100
1991-12-09,143,239,112
1991-12-10,126,216,116
1991-12-11,146,229,129
1991-12-12,152,222,108
1991-12-13,147,232,121
1991-12-14,147,217,119
1991-12-15,151,231,109
1991-12-16,147,223,121
1991-12-17,157,228,122
1991-12-18,153,223,128
1991-12-19,161,235,102
1991-12-20,158,224,115
1991-12-21,163,234,106
1991-12-22,148,218,104
1991-12-23,151,245,129
1991-12-24,160,221,99
1991-12-25,158,240,115
1991-12-26,148,247,126
1991-12-27,159,223,121
1991-12-28,156,243,103
1991-12-29,158,228,113
1991-12-30,141,234,100
1991-12-31,144,224,118
1992-01-01,145,220,127
1992-01-02,171,235,104
1992-01-03,171,238,120
1992-01-04,172,233,105
1992-01-05,167,247,109
1992-01-06,159,239,115
1992-01-07,176,240,116
1992-01-08,149,242,125
1992-01-09,166,243,106
1992-01-10,154,244,124
1992-01-11,171,221,111
1992-01-12,181,225,100
1992-01-13,166,244,104
1992-01-14,177,222,99
1992-01-15,171,234,109
1992-01-16,165,245,114
1992-01-17,167,238,104
1992-01-18,163,237,99
1992-01-19,177,229,100
1992-01-20,181,226,128
1992-01-21,186,216,103
1992-01-22,188,239,119
1992-01-23,173,233,110
1992-01-24,189,238,104
1992-01-25,168,225,115
1992-01-26,187,236,101
1992-01-27,192,215,107
1992-01-28,187,239,121
1992-01-29,181,227,122
1992-01-30,178,225,118
1992-01-31,168,229,104
1992-02-01,176,225,119
1992-02-02,186,240,129
1992-02-03,200,217,105
1992-02-04,190,233,126
1992-02-05,188,234,115
1992-02-06,179,218,100
1992-02-07,185,241,101
1992-02-08,201,238,108
1992-02-09,196,241,123
1992-02-10,198,223,111
1992-02-11,178,232,129
1992-02-12,204,238,121
1992-02-13,182,233,103
1992-02-14,186,224,114
1992-02-15,197,226,116
1992-02-16,191,219,101
1992-02-17,190,214,114
1992-02-18,209,235,122
1992-02-19,192,225,121
1992-02-20,199,227,128
1992-02-21,191,211,126
1992-02-22,195,231,116
1992-02-23,209,215,103
1992-02-24,204,219,128
1992-02-25,188,217,120
1992-02-26,214,230,105
1992-02-27,210,210,106
1992-02-28,190,217,117
1992-02-29,202,217,105
1992-03-01,195,216,109
1992-03-02,210,211,130
1992-03-03,187,233,126
1992-03-04,189,221,126
1992-03-05,189,220,107
1992-03-06,198,225,118
1992-03-07,203,227,119
1992-03-08,212,202,116
1992-03-09,202,225,125
1992-03-10,200,219,129
1992-03-11,203,210,131
1992-03-12,215,205,128
1992-03-13,200,220,109
1992-03-14,213,206,117
1992-03-15,207,206,106
1992-03-16,203,221,103
1992-03-17,197,211,109
1992-03-18,212,215,126
1992-03-19,195,222,104
1992-03-20,194,224,101
1992-03-21,203,214,110
1992-03-22,195,200,130
1992-03-23,198,219,117
1992-03-24,214,203,118
1992-03-25,221,200,124
1992-03-26,207,218,116
1992-03-27,216,195,118
1992-03-28,215,207,117
1992-03-29,208,215,112
1992-03-30,200,203,105
1992-03-31,195,207,127
1992-04-01,223,201,124
1992-04-02,208,210,131
1992-04-03,198,198,121
1992-04-04,194,192,119
1992-04-05,201,193,130
1992-04-06,222,200,101
1992-04-07,197,197,127
1992-04-08,215,201,121
1992-04-09,196,214,129
1992-04-10,209,191,124
1992-04-11,211,199,122
1992-04-12,222,185,131
1992-04-13,198,190,124
1992-04-14,203,206,123
1992-04-15,218,184,118
1992-04-16,207,209,124
1992-04-17,219,180,118
1992-04-18,210,183,123
1992-04-19,207,197,104
1992-04-20,212,192,107
1992-04-21,204,207,108
1992-04-22,190,199,126
1992-04-23,210,179,106
1992-04-24,203,180,124
1992-04-25,203,179,103
1992-04-26,205,180,123
1992-04-27,199,187,106
1992-04-28,203,187,125
1992-04-29,215,191,120
1992-04-30,208,203,112
1992-05-01,192,178,129
1992-05-02,201,188,121
1992-05-03,201,187,107
1992-05-04,200,188,109
1992-05-05,187,181,108
1992-05-06,198,175,126
1992-05-07,187,187,117
1992-05-08,206,192,115
1992-05-09,210,178,120
1992-05-10,184,196,110
1992-05-11,187,192,115
1992-05-12,196,192,116
1992-05-13,200,178,128
1992-05-14,189,177,120
1992-05-15,203,194,122
1992-05-16,180,175,112
1992-05-17,197,184,127
1992-05-18,202,187,117
1992-05-19,191,190,118
1992-05-20,205,196,107
1992-05-21,186,183,122
1992-05-22,201,193,121
1992-05-23,204,179,118
1992-05-24,184,181,112
1992-05-25,188,176,119
1992-05-26,185,169,127
1992-05-27,175,180,109
1992-05-28,196,165,112
1992-05-29,174,167,116
1992-05-30,169,177,113
1992-05-31,178,175,131
1992-06-01,182,175,128
1992-06-02,180,171,125
1992-06-03,179,167,118
1992-06-04,183,188,125
1992-06-05,187,188,103
1992-06-06,167,180,116
1992-06-07,171,178,119
1992-06-08,170,174,103
1992-06-09,184,175,117
1992-06-10,186,179,112
1992-06-11,178,182,105
1992-06-12,162,170,129
1992-06-13,175,182,111
1992-06-14,162,163,113
1992-06-15,174,172,125
1992-06-16,176,176,115
1992-06-17,180,166,109
1992-06-18,164,183,131
1992-06-19,169,187,133
1992-06-20,180,184,125
1992-06-21,180,188,120
1992-06-22,174,167,125
1992-06-23,180,187,106
1992-06-24,156,159,123
1992-06-25,153,181,112
1992-06-26,161,163,116
1992-06-27,176,172,129
1992-06-28,158,172,132
1992-06-29,162,188,106
1992-06-30,165,159,133
1992-07-01,147,178,117
1992-07-02,160,166,115
1992-07-03,168,179,107
1992-07-04,144,166,103
1992-07-05,149,168,133
1992-07-06,154,173,128
1992-07-07,167,181,111
1992-07-08,152,179,119
1992-07-09,165,177,114
1992-07-10,158,162,128
1992-07-11,142,161,106
1992-07-12,159,189,122
1992-07-13,163,186,117
1992-07-14,137,164,103
1992-07-15,142,162,131
1992-07-16,151,164,112
1992-07-17,140,168,106
1992-07-18,142,184,125
1992-07-19,141,186,123
1992-07-20,128,169,119
1992-07-21,141,162,129
1992-07-22,148,183,116
1992-07-23,140,181,120
1992-07-24,141,192,110
1992-07-25,133,175,110
1992-07-26,123,186,103
1992-07-27,125,191,115
1992-07-28,135,181,122
1992-07-29,142,178,119
1992-07-30,142,167,125
1992-07-31,124,164,107
1992-08-01,120,178,111
1992-08-02,142,178,131
1992-08-03,121,173,123
1992-08-04,132,177,128
1992-08-05,127,165,129
1992-08-06,123,167,105
1992-08-07,128,180,109
1992-08-08,126,195,132
1992-08-09,125,185,123
1992-08-10,112,185,104
1992-08-11,128,178,116
1992-08-12,117,174,125
1992-08-13,111,182,129
1992-08-14,113,184,108
1992-08-15,115,177,129
1992-08-16,109,169,108
1992-08-17,128,183,114
1992-08-18,114,178,120
1992-08-19,109,195,105
1992-08-20,126,190,111
1992-08-21,134,197,131
1992-08-22,122,200,125
1992-08-23,124,181,122
1992-08-24,131,175,116
1992-08-25,107,181,125
1992-08-26,110,201,133
1992-08-27,103,186,121
1992-08-28,118,174,113
1992-08-29,112,199,128
1992-08-30,128,179,124
1992-08-31,127,199,127
1992-09-01,108,180,108
1992-09-02,111,202,112
1992-09-03,101,188,134
1992-09-04,127,192,119
1992-09-05,119,184,127
1992-09-06,98,197,125
1992-09-07,113,207,104
1992-09-08,127,203,104
1992-09-09,122,197,122
1992-09-10,103,188,126
1992-09-11,115,185,125
1992-09-12,97,194,124
1992-09-13,116,210,115
1992-09-14,117,191,130
1992-09-15,110,207,116
1992-09-16,107,212,131
1992-09-17,111,183,106
1992-09-18,124,187,123
1992-09-19,123,206,126
1992-09-20,122,210,131
1992-09-21,125,195,117
1992-09-22,120,198,113
1992-09-23,99,202,114
1992-09-24,96,190,112
1992-09-25,109,216,129
1992-09-26,98,203,111
1992-09-27,106,203,107
1992-09-28,100,190,117
1992-09-29,106,216,125
1992-09-30,111,193,130
1992-10-01,109,203,134
1992-10-02,99,214,129
1992-10-03,116,200,129
1992-10-04,107,195,125
1992-10-05,112,219,124
1992-10-06,104,220,107
1992-10-07,112,221,133
1992-10-08,124,215,125
1992-10-09,124,198,111
1992-10-10,102,197,114
1992-10-11,119,207,109
1992-10-12,108,200,122
1992-10-13,126,226,112
1992-10-14,115,207,131
1992-10-15,122,218,129
1992-10-16,112,199,113
1992-10-17,118,202,122
1992-10-18,98,207,134
1992-10-19,116,200,130
1992-10-20,128,219,121
1992-10-21,121,208,110
1992-10-22,108,206,115
1992-10-23,128,202,113
1992-10-24,128,204,116
1992-10-25,121,214,133
1992-10-26,127,227,122
1992-10-27,128,219,113
1992-10-28,102,217,131
1992-10-29,121,208,131
1992-10-30,124,216,135
1992-10-31,125,227,111
1992-11-01,122,228,117
1992-11-02,110,236,128
1992-11-03,127,230,105
1992-11-04,117,231,115
1992-11-05,129,214,123
1992-11-06,129,213,126
1992-11-07,134,208,114
1992-11-08,119,230,120
1992-11-09,110,229,132
1992-11-10,107,225,121
1992-11-11,136,218,131
1992-11-12,132,212,130
1992-11-13,129,225,130
1992-11-14,111,226,121
1992-11-15,133,238,105
1992-11-16,131,212,124
1992-11-17,129,230,127
1992-11-18,134,221,122
1992-11-19,117,236,122
1992-11-20,136,220,132
1992-11-21,115,219,115
1992-11-22,125,217,125
1992-11-23,130,222,133
1992-11-24,119,239,128
1992-11-25,127,231,131
1992-11-26,136,241,121
1992-11-27,125,219,134
1992-11-28,137,241,128
1992-11-29,122,225,132
1992-11-30,125,224,118
1992-12-01,135,226,110
1992-12-02,152,230,115
1992-12-03,147,229,114
1992-12-04,136,235,106
1992-12-05,154,246,128
1992-12-06,125,217,129
1992-12-07,143,227,132
1992-12-08,155,226,112
1992-12-09,148,232,133
